"city","country","geo","date_time","pollutantGlobalIndex","pollutantGlobalLevel","so2Value","so2Index","so2Level","no2Value","no2Index","no2Level","o3Value","o3Index","o3Level","coValue","coIndex","coLevel","pm25Value","pm25Index","pm25Level","pm10Value","pm10Index","pm10Level","city_id","id"
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.84,1,1,0,0,0,44.53,3,2,NULL,NULL,NULL,6,2,2,0,0,0,1079,1937699
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.84,1,1,0,0,0,44.58,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937700
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.83,1,1,0,0,0,44.32,3,2,NULL,NULL,NULL,11.04,4,3,0,0,0,1079,1937701
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.8,1,1,0,0,0,44.32,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937702
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.56,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937703
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.56,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937704
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.37,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937705
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.37,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937706
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.57,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937707
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.57,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937708
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.13,3,2,NULL,NULL,NULL,3.12,1,1,0,0,0,1079,1937709
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.19,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937710
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.83,1,1,0,0,0,44.34,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937711
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.83,1,1,0,0,0,44.34,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937712
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.83,1,1,0,0,0,44.49,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937713
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.83,1,1,0,0,0,44.53,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937714
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.83,1,1,0,0,0,44.38,3,2,NULL,NULL,NULL,6,2,2,0,0,0,1079,1937715
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.09,3,2,NULL,NULL,NULL,3.12,1,1,0,0,0,1079,1937716
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.47,3,2,NULL,NULL,NULL,3.12,1,1,0,0,0,1079,1937717
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.78,1,1,0,0,0,43.47,3,2,NULL,NULL,NULL,10.08,3,2,0,0,0,1079,1937718
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.78,1,1,0,0,0,43.24,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937719
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.38,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937720
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.44,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937721
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.44,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937722
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.44,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937723
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,44,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937724
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.11,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937725
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.21,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937726
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.83,1,1,0,0,0,44.21,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937727
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.83,1,1,0,0,0,44.31,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937728
